bigrams
"['mattia', 'bimbo', 'passa', 'giornate', 'disegnare', 'realtà', 'mattia', 'impegna', 'necessario', 'tratteggiare', 'linee', 'forme', 'rendere', 'somiglianti', 'disegna', 'mattia', 'ama', 'colorare', 'persona', 'disegna', 'associa', 'colori', 'specifici', 'qual', 'disegna', 'papà', 'giuseppe', 'usa', 'colori', 'capelli', 'nero', 'maglia', 'azzurra', 'pantaloni', 'rigorosamente', 'rossi', 'papà', 'mattia', 'veste', 'ovviamente', 'colori', 'sgargianti', 'mattia', 'piace', 'immaginarlo']"
"['mattia', 'bimbo', 'passa', 'giornate', 'disegnare', 'realtà', 'mattia', 'impegna', 'necessario', 'tratteggiare', 'linee', 'forme', 'rendere', 'somiglianti', 'disegna', 'mattia', 'ama', 'colorare', 'persona', 'disegna', 'associa', 'colori', 'specifici', 'qual', 'disegna', 'papà', 'giuseppe', 'usa', 'colori', 'capelli', 'nero', 'maglia', 'azzurra', 'pantaloni', 'rigorosamente', 'rossi', 'papà', 'mattia', 'veste', 'ovviamente', 'colori', 'sgargianti', 'mattia', 'piace', 'immaginarlo']"
"['mattia', 'bimbo', 'passa', 'giornate', 'disegnare', 'realtà', 'mattia', 'impegna', 'necessario', 'tratteggiare', 'linee', 'forme', 'rendere', 'somiglianti', 'disegna', 'mattia', 'ama', 'colorare', 'persona', 'disegna', 'associa', 'colori', 'specifici', 'qual', 'disegna', 'papà', 'giuseppe', 'usa', 'colori', 'capelli', 'nero', 'maglia', 'azzurra', 'pantaloni', 'rigorosamente', 'rossi', 'papà', 'mattia', 'veste', 'ovviamente', 'colori', 'sgargianti', 'mattia', 'piace', 'immaginarlo']"
"['mattia', 'bimbo', 'passa', 'giornate', 'disegnare', 'realtà', 'mattia', 'impegna', 'necessario', 'tratteggiare', 'linee', 'forme', 'rendere', 'somiglianti', 'disegna', 'mattia', 'ama', 'colorare', 'persona', 'disegna', 'associa', 'colori', 'specifici', 'qual', 'disegna', 'papà', 'giuseppe', 'usa', 'colori', 'capelli', 'nero', 'maglia', 'azzurra', 'pantaloni', 'rigorosamente', 'rossi', 'papà', 'mattia', 'veste', 'ovviamente', 'colori', 'sgargianti', 'mattia', 'piace', 'immaginarlo']"
"['mattia', 'bimbo', 'passa', 'giornate', 'disegnare', 'realtà', 'mattia', 'impegna', 'necessario', 'tratteggiare', 'linee', 'forme', 'rendere', 'somiglianti', 'disegna', 'mattia', 'ama', 'colorare', 'persona', 'disegna', 'associa', 'colori', 'specifici', 'qual', 'disegna', 'papà', 'giuseppe', 'usa', 'colori', 'capelli', 'nero', 'maglia', 'azzurra', 'pantaloni', 'rigorosamente', 'rossi', 'papà', 'mattia', 'veste', 'ovviamente', 'colori', 'sgargianti', 'mattia', 'piace', 'immaginarlo']"
"['mattia', 'bimbo', 'passa', 'giornate', 'disegnare', 'realtà', 'mattia', 'impegna', 'necessario', 'tratteggiare', 'linee', 'forme', 'rendere', 'somiglianti', 'disegna', 'mattia', 'ama', 'colorare', 'persona', 'disegna', 'associa', 'colori', 'specifici', 'qual', 'disegna', 'papà', 'giuseppe', 'usa', 'colori', 'capelli', 'nero', 'maglia', 'azzurra', 'pantaloni', 'rigorosamente', 'rossi', 'papà', 'mattia', 'veste', 'ovviamente', 'colori', 'sgargianti', 'mattia', 'piace', 'immaginarlo']"
"['mattia', 'bimbo', 'passa', 'giornate', 'disegnare', 'realtà', 'mattia', 'impegna', 'necessario', 'tratteggiare', 'linee', 'forme', 'rendere', 'somiglianti', 'disegna', 'mattia', 'ama', 'colorare', 'persona', 'disegna', 'associa', 'colori', 'specifici', 'qual', 'disegna', 'papà', 'giuseppe', 'usa', 'colori', 'capelli', 'nero', 'maglia', 'azzurra', 'pantaloni', 'rigorosamente', 'rossi', 'papà', 'mattia', 'veste', 'ovviamente', 'colori', 'sgargianti', 'mattia', 'piace', 'immaginarlo']"
"['mattia', 'bimbo', 'passa', 'giornate', 'disegnare', 'realtà', 'mattia', 'impegna', 'necessario', 'tratteggiare', 'linee', 'forme', 'rendere', 'somiglianti', 'disegna', 'mattia', 'ama', 'colorare', 'persona', 'disegna', 'associa', 'colori', 'specifici', 'qual', 'disegna', 'papà', 'giuseppe', 'usa', 'colori', 'capelli', 'nero', 'maglia', 'azzurra', 'pantaloni', 'rigorosamente', 'rossi', 'papà', 'mattia', 'veste', 'ovviamente', 'colori', 'sgargianti', 'mattia', 'piace', 'immaginarlo']"
"['mattia', 'bimbo', 'passa', 'giornate', 'disegnare', 'realtà', 'mattia', 'impegna', 'necessario', 'tratteggiare', 'linee', 'forme', 'rendere', 'somiglianti', 'disegna', 'mattia', 'ama', 'colorare', 'persona', 'disegna', 'associa', 'colori', 'specifici', 'qual', 'disegna', 'papà', 'giuseppe', 'usa', 'colori', 'capelli', 'nero', 'maglia', 'azzurra', 'pantaloni', 'rigorosamente', 'rossi', 'papà', 'mattia', 'veste', 'ovviamente', 'colori', 'sgargianti', 'mattia', 'piace', 'immaginarlo']"
"['mattia', 'bimbo', 'passa', 'giornate', 'disegnare', 'realtà', 'mattia', 'impegna', 'necessario', 'tratteggiare', 'linee', 'forme', 'rendere', 'somiglianti', 'disegna', 'mattia', 'ama', 'colorare', 'persona', 'disegna', 'associa', 'colori', 'specifici', 'qual', 'disegna', 'papà', 'giuseppe', 'usa', 'colori', 'capelli', 'nero', 'maglia', 'azzurra', 'pantaloni', 'rigorosamente', 'rossi', 'papà', 'mattia', 'veste', 'ovviamente', 'colori', 'sgargianti', 'mattia', 'piace', 'immaginarlo']"
"['mattia', 'bimbo', 'passa', 'giornate', 'disegnare', 'realtà', 'mattia', 'impegna', 'necessario', 'tratteggiare', 'linee', 'forme', 'rendere', 'somiglianti', 'disegna', 'mattia', 'ama', 'colorare', 'persona', 'disegna', 'associa', 'colori', 'specifici', 'qual', 'disegna', 'papà', 'giuseppe', 'usa', 'colori', 'capelli', 'nero', 'maglia', 'azzurra', 'pantaloni', 'rigorosamente', 'rossi', 'papà', 'mattia', 'veste', 'ovviamente', 'colori', 'sgargianti', 'mattia', 'piace', 'immaginarlo']"
